dest_ip,dest_port,first_seen,last_online,malware
181.13.24.82,80,1/16/2020 16:52,2/6/2020,Heodo
78.142.114.69,80,1/16/2020 16:52,1/31/2020,Heodo
201.229.45.222,8080,1/16/2020 16:52,1/21/2020,Heodo
81.17.92.70,80,1/16/2020 16:52,1/16/2020,Heodo
64.40.250.5,80,1/16/2020 16:33,1/22/2020,Heodo
68.172.243.146,80,1/16/2020 15:50,1/20/2020,Heodo
70.123.95.180,80,1/16/2020 15:42,1/23/2020,Heodo
177.103.240.93,80,1/16/2020 15:30,1/24/2020,Heodo
81.16.1.45,80,1/16/2020 5:48,2/6/2020,Heodo
200.82.170.231,80,1/16/2020 5:48,2/6/2020,Heodo
202.62.39.111,80,1/16/2020 5:48,2/4/2020,Heodo
181.129.96.162,990,1/16/2020 1:18,1/16/2020,Heodo
83.35.213.87,7080,1/16/2020 0:55,1/17/2020,Heodo
82.152.149.79,80,1/16/2020 0:32,1/16/2020,Heodo
73.239.11.159,80,1/16/2020 0:32,2/6/2020,Heodo
211.20.154.102,80,1/15/2020 22:54,2/6/2020,Heodo
72.189.57.105,80,1/15/2020 22:12,2/1/2020,Heodo
187.72.47.161,443,1/15/2020 21:32,2/2/2020,Heodo
122.19.63.27,80,1/15/2020 21:32,1/17/2020,Heodo
125.209.114.180,443,1/15/2020 21:32,2/6/2020,Heodo
76.11.76.47,80,1/15/2020 21:32,1/16/2020,Heodo
61.204.119.188,443,1/15/2020 21:32,2/6/2020,Heodo
24.141.12.228,80,1/15/2020 21:10,1/16/2020,Heodo
24.196.49.98,80,1/15/2020 20:48,1/21/2020,Heodo
5.34.176.242,447,1/15/2020 14:50,1/25/2020,TrickBot
185.105.1.141,447,1/15/2020 14:50,1/17/2020,TrickBot
5.182.210.226,443,1/14/2020 21:36,1/18/2020,TrickBot
188.165.62.36,443,1/14/2020 21:36,1/20/2020,TrickBot
198.23.252.132,447,1/14/2020 21:17,1/16/2020,TrickBot
5.34.176.218,447,1/14/2020 21:17,1/28/2020,TrickBot
120.151.135.224,80,1/14/2020 20:35,2/6/2020,Heodo
160.226.171.255,443,1/14/2020 17:55,2/6/2020,Heodo
95.130.37.244,443,1/14/2020 17:55,2/6/2020,Heodo
185.99.2.117,443,1/14/2020 17:55,1/15/2020,TrickBot
93.189.46.122,443,1/14/2020 17:11,1/29/2020,TrickBot
201.213.100.141,8080,1/14/2020 16:54,2/6/2020,Heodo
139.47.135.215,80,1/14/2020 16:54,2/6/2020,Heodo
186.177.165.196,443,1/14/2020 16:54,2/6/2020,Heodo
60.152.212.149,80,1/14/2020 16:48,1/22/2020,Heodo
181.54.246.80,443,1/14/2020 16:48,1/15/2020,Heodo
186.147.245.204,80,1/14/2020 16:48,2/6/2020,Heodo
165.255.142.118,80,1/14/2020 16:48,1/17/2020,Heodo
5.2.78.43,443,1/14/2020 16:43,1/29/2020,TrickBot
197.89.27.26,8080,1/14/2020 16:18,1/17/2020,Heodo
72.186.137.156,80,1/14/2020 16:18,1/21/2020,Heodo
58.171.38.26,80,1/14/2020 15:57,2/6/2020,Heodo
162.247.155.133,447,1/14/2020 15:56,2/3/2020,TrickBot
70.184.69.146,80,1/14/2020 15:55,2/6/2020,Heodo
76.185.136.132,80,1/14/2020 15:55,1/17/2020,Heodo
185.142.99.8,443,1/14/2020 15:50,1/20/2020,TrickBot
146.185.253.122,447,1/14/2020 15:31,1/18/2020,TrickBot
82.146.62.52,443,1/14/2020 15:25,2/6/2020,TrickBot
85.143.220.228,447,1/14/2020 15:24,2/2/2020,TrickBot
